Id_cosecha;Superf;TT_est; Neto_KG; Toneladas_recibidas; Average of HUMEDAD; Average of PROTEINA;Max of VITASCOPIO; Average of PRIMERA+SEGUNDA; Average of CUARTA;Max of PUREZA_VARIETAL;Max of FALLING_NUMBER;Max of DON; Average of CUERPOS EXT+QUEBRADO+DAÑADO ;Count of Fertil;Cosecha;Fecha_siembra;Variedad;Departamento;Weath_ref; Precip.Acumulada_(mm); Heliofanía_Relativa_(%); Rad.Solar_(xHelio)cal/cma²; Humedad_Rel.
7896;21;69;99.170;99;12,3;11,875;100;93,725;0,475;100;299;23,6;1,825;1;2022;6/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7897;17;51;57.740;58;12,0667;11,0333;98;95,2;0,4;98;327;0,1;2,1333;1;2022;21/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7898;30;90;117.920;118;12,325;12,575;98;93,625;0,2;100;282;10;4,025;1;2022;22/6/2022;OSIRIS;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7899;130;390;541.600;542;11,9095;12,4095;99;97,5;0,1667;100;346;118;1,4095;1;2022;27/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7901;23;0;100.390;100;10,7333;10,3667;96;95;0,6;100;325;108;1,6;1;2022;4/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7902;91;319;519.180;519;11,615;12,205;97;93,2;0,735;100;317;30,4;2,125;1;2022;24/5/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7903;44;154;149.680;150;16,22;13,06;99;92,4;0,44;99;347;5;1,14;1;2022;24/5/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7904;30;105;57.790;58;11,7;11,35;100;94,35;0,8;98;227;0,1;2,95;1;2022;31/5/2022;OSIRIS;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7905;32;112;54.250;54;10,3833;11,5667;98;91,9667;0,9667;99;203;0,1;2,2667;1;2022;1/6/2022;OSIRIS;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7906;54;162;124.140;124;11,625;10,375;99;94,875;0,275;100;325;84;2,425;1;2022;6/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7907;55;165;253.470;185;9,5273;13,0091;99;89,8545;0,9182;100;226;10;2,1182;1;2022;21/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7908;45;135;170.950;143;12,25;12,0833;99;96,4333;0,3;100;300;204,9;1,95;1;2022;10/6/2022;ARRAYAN;CANELONES;Canelones;298,3;63,47877551;360,6836735;0,008163265
7909;10;30;29.260;29;12,1;12,3;99;95,9;0,4;96;295;75;1,9;1;2022;9/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7910;57;171;86.370;57;11,04;13,14;97;93,86;0,38;100;319;10;2,54;1;2022;19/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7911;84;294;337.420;310;11,9167;11,15;-1;89,6417;0,7167;100;-1;-1;5,5083;1;2022;18/5/2022;DANIELLE;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7912;15;53;74.510;75;10,8;10,025;99;82,15;2,15;99;350;27;1,275;1;2022;2/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7913;9;32;43.630;44;9,9;12,25;97;85,8;1,6;100;347;89,8;3,2;1;2022;21/5/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7914;18;63;83.360;83;10,025;11,5;97;90,6;1;100;339;70,3;2,15;1;2022;11/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7915;86;284;239.700;238;10,7818;11,9364;99;96,8636;0,2364;100;292;89,4;1,0818;1;2022;11/6/2022;FANA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7916;54;178;218.880;219;10,3125;11,0875;100;96,9875;0,375;100;303;206;0,575;1;2022;27/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7917;20;60;55.780;56;9,7;11,5;100;95,85;0,4;100;274;7;1,05;1;2022;25/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7918;53;186;210.420;210;10,9714;10,1143;100;95,2857;0,5571;100;304;180;1,6714;1;2022;29/5/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7919;130;455;81.910;62;13,7353;12,7941;98;61,0706;8,0059;99;412;121,9;2,5824;1;2022;2/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7920;130;455;440.580;441;10,5063;11,025;100;92,25;1,0063;100;340;90;1,2625;1;2022;6/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7921;50;175;312.820;313;11,81;11,44;96;95,27;0,69;100;288;175;1,46;1;2022;1/6/2022;ARRAYAN;FLORIDA;Canelones;298,3;63,47877551;360,6836735;0,008163265
